Size, Quick Avg, Radix Avg, Heap Avg, Insert Avg, Quick Sorted, Radix Sorted, Heap Sorted, Insert sorted
10,1172,10360,1501,629,834,2714,1064,187
20,2509,17119,3317,1352,2060,6038,2341,364
30,4605,23622,6095,2509,4520,9303,4338,530
40,7655,32830,10458,4543,8834,13908,7427,753
50,12041,44089,16709,7600,16712,20120,12329,1048
60,16807,56739,24010,11360,25750,26048,17887,1477
70,24196,72219,34075,17168,41295,34080,26530,1906
80,30865,85995,44261,23351,56170,41205,34497,2315
90,38027,99878,55464,30583,73261,48363,42999,2712
100,45974,114515,67678,38978,93507,55840,52620,3123
200,81847,169916,123537,98739,246792,97830,104580,4638
300,116407,217828,176008,175412,441582,134282,153626,5950
400,160728,278181,245548,302760,773858,179966,219037,7760
500,211336,343640,326563,476762,1227735,228816,292256,9585
600,274488,425232,429290,733007,1900432,291215,388247,11988
700,372836,549948,583897,1165451,3026281,380837,531854,15230
800,462771,658520,727949,1624003,4222228,461564,665112,18234
900,576842,793177,909523,2256288,5880674,560690,830965,21902
1000,687839,922531,1089762,2939187,7675922,658828,993614,25446
2000,970710,1226004,1545065,6040231,15807608,942623,1382716,33531
3000,1536210,1787316,2416647,14759971,38314701,1468165,2153215,49352
4000,2117876,2396207,3390542,27230828,69917586,2037644,2988600,65214
5000,2804789,3094116,4537502,44473700,116511243,2693588,3971697,83504
6000,3673115,3956811,5960844,70388662,184580516,3490124,5199495,105906
7000,5577372,5882712,9066632,134045958,359178360,5202774,7934653,155470
8000,7135154,7476902,11751558,194086682,516376743,6557545,10181202,197777
9000,8663367,8928987,14173344,257364973,680528338,7841237,12248272,233907
10000,11212708,11479934,18506018,374153380,,,,
20000,18870253,19661502,31753242,1041872446,,,,
30000,25313023,26212220,42883709,1900271910,,,,
40000,32211016,32934028,55099612,3042299913,,,,
50000,41201715,41537264,70646065,4946972650,,,,
60000,52318210,52047282,90112137,7562669899,,,,
70000,65943074,64681271,113338569,11224066472,,,,
80000,82176474,79376207,141277682,16049175101,,,,
90000,99614263,95514375,172297101,22144742703,,,,
100000,123955195,116923993,214057250,31526151681,,,,
10000000,,,,,,,,
1000000000,,,,,,,,
1E+12,,,,,,,,
